destination_wikidata_id,destination_name,venue_name,venue_wikidata_id,venue_category
Q42941,Agra,Raja-Ki-Mandi,Q15271403,attraction
Q42941,Agra,Masjid Raja Mandi Station,Q15271403,religious site
Q42941,Agra,Agra Cantonment Junction,Q3634740,attraction
Q42941,Agra,Akbar's Church,Q3585487,religious site
Q42941,Agra,"Moti Masjid, Agra",Q4179295,religious site
Q42941,Agra,Nagina Masjid (Gem Mosque),Q6958835,religious site
Q1070,Ahmedabad,Ahmed Sah Mosque,Q19881775,religious site
Q1070,Ahmedabad,Ahmed Shah Mosque,Q19881775,religious site
Q1070,Ahmedabad,Teen Darwaza,Q18752661,fortress
Q1070,Ahmedabad,Sidi Saiyad Mosque,Q2032778,religious site
Q1070,Ahmedabad,Jama Masjid,Q2758009,religious site
Q1070,Ahmedabad,Sardar Khan's Roza,Q18745708,historic site
Q1070,Ahmedabad,Tomb of Ahmad Shah,Q19456683,historic site
Q1070,Ahmedabad,Historic City of Ahmadabad,Q5472448,attraction
Q1070,Ahmedabad,Haibat Khan's Mosque,Q19891668,religious site
Q1070,Ahmedabad,Mughli Bibi's Tomb,Q18746523,historic site
Q1070,Ahmedabad,Muhafiz Khan Mosque,Q16931489,religious site
Q1070,Ahmedabad,Dastur Kahn's Mosque,Q18600292,religious site
Q1070,Ahmedabad,Rani Sipri's Mosque and Tomb,Q7292995,religious site
Q1070,Ahmedabad,Rani Rupamati's Mosque,Q18657315,religious site
Q1070,Ahmedabad,Baba Lului's Mosque,Q19882196,religious site
Q40104,Ajaccio,Chapelle Saint-Roch d'Ajaccio,Q22949589,religious site
Q40104,Ajaccio,Bibliothèque Fesch,Q60847084,attraction
Q40104,Ajaccio,Statue du cardinal Fesch,Q56560958,historic site
Q40104,Ajaccio,Chapelle Impériale,Q1062697,religious site
Q40104,Ajaccio,Palais Lantivy,Q3360879,palace
Q40104,Ajaccio,Maison Bonaparte,Q3124818,cultural site
Q40104,Ajaccio,Maison Bonaparte,Q3124818,cultural site
Q40104,Ajaccio,Oratoire Saint-Jean-Baptiste,Q22949588,religious site
Q40104,Ajaccio,Monument to Napoleon and His Brothers,Q20807009,historic site
Q40104,Ajaccio,Ajaccio Cathedral,Q2437680,religious site
Q40104,Ajaccio,Église Sant'Eramu d'Ajaccio,Q22949578,religious site
Q40104,Ajaccio,Citadelle d'Ajaccio,Q5122393,fortress
Q40104,Ajaccio,Maison des Milelli,Q22949584,historic site
Q40104,Ajaccio,Château de la Punta,Q2971348,fortress
Q40104,Ajaccio,Tour de Capitello,Q3379494,attraction
Q222,Albania,Tirana Clock Tower,,clock tower
Q222,Albania,Tirana Clock Tower,,clock tower
Q222,Albania,Tirana Clock Tower,,historic site
Q24861,Albany,Center Square/Hudson–Park Historic District,Q5059345,historic site
Q24861,Albany,Knox Street Historic District,Q6423588,historic site
Q24861,Albany,Lincoln Park,Q17031801,cultural site
Q24861,Albany,James Hall House,Q6135402,historic site
Q24861,Albany,Sunshine School,Q6135402,historic site
Q24861,Albany,New York State Governor's Mansion,Q7014108,historic site
Q24861,Albany,Cathedral of the Immaculate Conception,Q2942863,religious site
Q24861,Albany,Albany Bible Institute,Q4709330,cultural site
Q24861,Albany,Harmanus Bleecker Library,Q5659058,attraction
Q24861,Albany,Walter Merchant House,Q7965620,historic site
Q24861,Albany,New York State Capitol Building,Q1510431,historic site
Q24861,Albany,New York State Capitol Tour,Q1510431,historic site
Q24861,Albany,The University Club of Albany,Q7894600,historic site
Q24861,Albany,Mansion District,Q177748,historic site
Q24861,Albany,New York State Education Building,Q7014096,historic site
Q34804,Albuquerque,First National Bank Building,Q5453378,historic site
Q34804,Albuquerque,Occidental Life Building,Q7075686,historic site
Q34804,Albuquerque,Rosenwald Building Historic Site,Q7368615,historic site
Q34804,Albuquerque,Sunshine Theatre,Q7641442,cultural site
Q34804,Albuquerque,Pacific Building,Q29643974,historic site
Q34804,Albuquerque,S. H. Kress Building,Q21016148,historic site
Q34804,Albuquerque,Old Post Office,Q7084760,historic site
Q34804,Albuquerque,Federal Building and United States Courthouse,Q5440042,historic site
Q34804,Albuquerque,Kimo Theater Historic Site,Q6403585,cultural site
Q34804,Albuquerque,McCanna-Hubbell Building,Q6800149,historic site
Q34804,Albuquerque,Maisel's Indian Trading Post,Q6736985,historic site
Q34804,Albuquerque,Simms Building,Q7518027,historic site
Q34804,Albuquerque,Main Library,Q65052199,attraction
Q34804,Albuquerque,Cathedral Church of Saint John,Q16850642,religious site
Q34804,Albuquerque,Santa Fe Freight House,Q54933325,historic site
