festival_wikidata_id,festival_name,festival_type,destination_wikidata_id,destination_name,start_date,end_date,inception
Q20106122,MINIPUT,festival,Q29,Spain,,,1994-01-01T00:00:00Z
Q20102907,Fira de la Candelera de Molins de Rei,festival,Q29,Spain,,,
Q20103461,Ball de cavallets de Sant Feliu de Pallerols,festival,Q29,Spain,,,
Q5861853,Q5861853,festival,Q29,Spain,,,
Q20103161,Ball dels Pabordes,festival,Q29,Spain,,,
Q11921951,Q11921951,festival,Q29,Spain,,,1990-01-01T00:00:00Z
Q15967896,NoWhere (event),festival,Q29,Spain,,,
Q12268038,Carnival of Tolosa,festival,Q29,Spain,,,
Q11910502,Q11910502,festival,Q29,Spain,2005-01-01T00:00:00Z,2011-01-01T00:00:00Z,
Q5963001,Cordà of Paterna,festival,Q29,Spain,,,
Q23662581,Q23662581,festival,Q29,Spain,,,
Q21077728,Festa de l'Arbre,festival,Q29,Spain,,,1899-01-01T00:00:00Z
Q23310038,Q23310038,festival,Q29,Spain,,,
Q21088799,Kosmopolis,festival,Q29,Spain,,,2002-01-01T00:00:00Z
Q23655833,Q23655833,festival,Q29,Spain,,,
Q23662620,Medieval market in Capdepera,festival,Q29,Spain,,,
Q20107092,Q20107092,festival,Q29,Spain,,,
Q23655838,Q23655838,festival,Q29,Spain,,,
Q23662691,"Festes de Sant Bartomeu, Montuïri",festival,Q29,Spain,,,
Q23662589,Q23662589,festival,Q29,Spain,,,
Q23662593,Q23662593,festival,Q29,Spain,,,
Q23309745,Q23309745,festival,Q29,Spain,,,
Q23661698,Q23661698,festival,Q29,Spain,,,
Q23662599,Q23662599,festival,Q29,Spain,,,
Q23658059,El Zangarrón,festival,Q29,Spain,,,
Q21058056,Q21058056,festival,Q884,South Korea,1958-01-01T00:00:00Z,,
Q23661702,Q23661702,festival,Q29,Spain,,,
Q23655848,Q23655848,festival,Q29,Spain,,,
Q23662749,Q23662749,festival,Q29,Spain,,,
Q23662754,Q23662754,festival,Q29,Spain,,,
Q23662601,Q23662601,festival,Q29,Spain,,,
Q23662752,Q23662752,festival,Q29,Spain,,,
Q23661706,Q23661706,festival,Q29,Spain,,,
Q23541123,Q23541123,festival,Q29,Spain,2009-02-23T00:00:00Z,,
Q23655858,Q23655858,festival,Q29,Spain,,,
Q23662759,Q23662759,festival,Q29,Spain,,,
Q23661710,Q23661710,festival,Q29,Spain,,,
Q23657656,Q23657656,festival,Q29,Spain,,,
Q23661711,Q23661711,festival,Q29,Spain,,,
Q23310072,Ritual del Jurru,festival,Q29,Spain,,,
Q23662608,Q23662608,festival,Q29,Spain,,,
Q23657662,Q23657662,festival,Q29,Spain,,,
Q23661709,Q23661709,festival,Q29,Spain,,,
Q23662614,Q23662614,festival,Q29,Spain,,,
Q20617640,Q20617640,festival,Q29,Spain,,,
Q23662612,Q23662612,festival,Q29,Spain,,,
Q23660812,Q23660812,festival,Q29,Spain,,,
Q23661713,Q23661713,festival,Q29,Spain,,,
Q23655668,Valmaseda medieval market,festival,Q29,Spain,,,
Q20106405,Festa de l'Arbre i Ball del Cornut de Cornellà del Terri,festival,Q29,Spain,,,
Q23662617,Q23662617,festival,Q29,Spain,,,
Q23658031,La Soldadesca,festival,Q29,Spain,,,
Q23449320,Festa do Maio,festival,Q29,Spain,,,
Q23662585,Procession of the Three Blows,festival,Q29,Spain,,,
Q23655569,Q23655569,festival,Q29,Spain,,,
Q23660826,Q23660826,festival,Q29,Spain,,,
Q23660827,Q23660827,festival,Q29,Spain,,,
Q23655573,Q23655573,festival,Q29,Spain,,,
Q23310076,Q23310076,festival,Q29,Spain,,,
Q20015020,Q20015020,festival,Q29,Spain,,,
Q23660830,Q23660830,festival,Q29,Spain,,,
Q23662616,Firó,festival,Q29,Spain,,,1855-01-01T00:00:00Z
Q23660829,Q23660829,festival,Q29,Spain,,,
Q23657683,Q23657683,festival,Q29,Spain,,,
Q23662635,Q23662635,festival,Q29,Spain,,,
Q20106459,Feria de Circo Trapezi,festival,Q29,Spain,,,1997-01-01T00:00:00Z
Q23662638,Q23662638,festival,Q29,Spain,,,
Q23199332,Bonfires of Saint John in A Coruña,festival,Q29,Spain,,,
Q23657685,Q23657685,festival,Q29,Spain,,,
Q23662084,Magical Autumn,festival,Q29,Spain,,,
Q23449314,Q23449314,festival,Q29,Spain,,,
Q20108081,Falles of Burriana,festival,Q29,Spain,,,
Q20106281,Festa del Carro Triomfal,festival,Q29,Spain,,,
Q23658017,Astures y Romanos,festival,Q29,Spain,,,
Q23662648,Q23662648,festival,Q29,Spain,,,
Q23658054,Virgen de los Pegotes,festival,Q29,Spain,,,
Q20106444,Festes de Sant Antoni de Sa Pobla,festival,Q29,Spain,1365-01-01T00:00:00Z,,
Q23661721,Corpus Christi flower carpets,festival,Q29,Spain,,,
Q23657677,Q23657677,festival,Q29,Spain,1794-01-01T00:00:00Z,,
Q23662655,Q23662655,festival,Q29,Spain,,,
Q20108095,Festa del Pi de Centelles,festival,Q29,Spain,,,
Q23455822,"Fiesta de la Maya, El Molar",festival,Q29,Spain,,,
Q23660811,"Feria del Ajo, Santa Marina del Rey",festival,Q29,Spain,,,
Q23656927,Festa dels Tonis de Taradell,festival,Q29,Spain,,,
Q23660809,"Fiesta de la Trashumancia, Prioro",festival,Q29,Spain,,,
Q20523324,Q20523324,festival,Q215,Slovenia,,,
Q23657709,Q23657709,festival,Q29,Spain,,,
Q20109030,"Trabucaires, bandolers i galejadors",festival,Q29,Spain,,,
Q23657666,Fiesta de Santa Águeda,festival,Q29,Spain,,,
Q23657713,Q23657713,festival,Q29,Spain,,,
Q23662664,Q23662664,festival,Q29,Spain,,,
Q23660816,Fiesta de Nuestra Señora y San Roque,festival,Q29,Spain,,,
Q23656970,Q23656970,festival,Q29,Spain,,,
Q23657668,Fiesta de los Gabarreros,festival,Q29,Spain,,,
Q23662669,Q23662669,festival,Q29,Spain,,,
Q23657720,Q23657720,festival,Q29,Spain,,,
Q23310075,Zafarronada de Omaña,festival,Q29,Spain,,,
Q23655773,Q23655773,festival,Q29,Spain,,,
Q23657725,Q23657725,festival,Q29,Spain,,,
Q23658030,Q23658030,festival,Q29,Spain,,,
Q23658028,Q23658028,festival,Q29,Spain,,,
Q23658029,Q23658029,festival,Q29,Spain,,,
Q23657729,Q23657729,festival,Q29,Spain,,,
Q23662684,Q23662684,festival,Q29,Spain,,,
Q23662039,"Fiesta de la Tenca, province of Cáceres",festival,Q29,Spain,,,
Q23657884,Q23657884,festival,Q29,Spain,,,
Q23662637,Festes de Sant Martí as Mercadal,festival,Q29,Spain,,,
Q23662643,Feast of San Jaime in Villacarlos,festival,Q29,Spain,,,
Q23449319,Los Mayos,festival,Q29,Spain,,,
Q23658043,Q23658043,festival,Q29,Spain,,,
Q20524562,Q20524562,festival,Q215,Slovenia,,,
Q23660832,"Shepherd's Festival, Los Barrios de Luna",festival,Q29,Spain,,,
Q20617427,Q20617427,festival,Q29,Spain,,,
Q23655987,"Night of the Candles, Vitoria",festival,Q29,Spain,,,
Q23658045,Q23658045,festival,Q29,Spain,,,
Q20106496,Festa dels Raiers de la Pobla de Segur,festival,Q29,Spain,1979-01-01T00:00:00Z,,
Q23658048,Q23658048,festival,Q29,Spain,,,
Q23657680,"International Trout Week, Leon",festival,Q29,Spain,,,
Q23658049,Q23658049,festival,Q29,Spain,,,
Q21003051,Festival of the Grape Harvest,festival,Q29,Spain,,,
Q23450140,The Saint's departure,festival,Q29,Spain,,,
Q23310069,Antruejo de Velilla de la Reina,festival,Q29,Spain,,,
Q23310007,Q23310007,festival,Q29,Spain,,,
Q22673355,Dragon Days,festival,Q1022,Stuttgart,,,2012-01-01T00:00:00Z
Q23310004,Q23310004,festival,Q29,Spain,,,
Q23658053,Q23658053,festival,Q29,Spain,,,
Q20106204,Q20106204,festival,Q29,Spain,1986-01-01T00:00:00Z,,
Q23662705,Q23662705,festival,Q29,Spain,,,
Q23662594,Alaior Carnival,festival,Q29,Spain,,,
Q23662711,Q23662711,festival,Q29,Spain,,,
Q23655940,San Ignacio festival,festival,Q29,Spain,,,
Q23655957,Q23655957,festival,Q29,Spain,,,
Q23662708,Q23662708,festival,Q29,Spain,,,
Q23662660,"Festes de Sant Cristòfol de ses Corregudes, es Migjorn Gran",festival,Q29,Spain,,,
Q23663309,Q23663309,festival,Q29,Spain,,,
Q23662714,Q23662714,festival,Q29,Spain,,,
Q23663315,Q23663315,festival,Q29,Spain,,,
Q23663312,Q23663312,festival,Q29,Spain,,,
Q23662605,Massacre of Bujots,festival,Q29,Spain,,,
Q20493067,Titirijai,festival,Q29,Spain,,,
Q23662580,Bonfires of Capdepera,festival,Q29,Spain,,,
Q23663317,Q23663317,festival,Q29,Spain,,,
Q23650270,Q23650270,festival,Q29,Spain,,,
Q23655971,Q23655971,festival,Q29,Spain,,,
Q23662574,Q23662574,festival,Q29,Spain,,,
Q21038058,El Cosso,festival,Q29,Spain,,,1983-01-01T00:00:00Z
Q23662572,Q23662572,festival,Q29,Spain,,,
Q23662679,"Festes de Sant Gaietà, Llucmaçanes",festival,Q29,Spain,,,
Q20616852,Q20616852,festival,Q29,Spain,,,
Q23657694,Justas Medievales del Paso Honroso,festival,Q29,Spain,,,
Q23662576,Q23662576,festival,Q29,Spain,,,
Q23655830,Q23655830,festival,Q29,Spain,,,
Q20106902,Gala de Campdevànol,festival,Q29,Spain,,,1600-01-01T00:00:00Z
Q20523601,Q20523601,festival,Q215,Slovenia,,,1991-01-01T00:00:00Z
Q23663334,Q23663334,festival,Q29,Spain,,,
Q23662732,Q23662732,festival,Q29,Spain,,,
Q21479977,Manresa Festival of Light,festival,Q29,Spain,,,
Q23663333,Q23663333,festival,Q29,Spain,,,
Q23661687,Q23661687,festival,Q29,Spain,,,
Q23662884,Q23662884,festival,Q29,Spain,,,
Q23662738,Q23662738,festival,Q29,Spain,,,
Q23662736,Q23662736,festival,Q29,Spain,,,
Q23663337,Q23663337,festival,Q29,Spain,,,
Q23661691,Q23661691,festival,Q29,Spain,,,
Q23661689,Q23661689,festival,Q29,Spain,,,
Q23661695,Q23661695,festival,Q29,Spain,,,
Q23894905,Festa Major de Sant Agustí d'Alfara de Carles,festival,Q29,Spain,,,
Q23663347,Q23663347,festival,Q29,Spain,,,
Q23662745,Q23662745,festival,Q29,Spain,,,
Q21815353,Q21815353,festival,Q29,Spain,1993-01-01T00:00:00Z,,
Q23661696,Q23661696,festival,Q29,Spain,,,
Q23662702,"Festes de Sant Agustí, Felanitx",festival,Q29,Spain,,,
Q23663351,Q23663351,festival,Q29,Spain,,,
Q23663151,Fira de Santa Caterina,festival,Q29,Spain,,,
Q23663054,Q23663054,festival,Q29,Spain,,,
Q23662900,Q23662900,festival,Q29,Spain,,,
Q21479921,Completes de Cervera,festival,Q29,Spain,,,
Q21479872,Caramelles del Roser de Sant Julià de Vilatorta,festival,Q29,Spain,,,
Q23663353,Q23663353,festival,Q29,Spain,,,
Q23663356,Q23663356,festival,Q29,Spain,,,
Q23662908,Q23662908,festival,Q29,Spain,,,
Q23662860,Festa de les Alfàbegues,festival,Q29,Spain,,,
Q21479929,Corpus de la Garriga,festival,Q29,Spain,,,
Q23662761,Q23662761,festival,Q29,Spain,,,
Q23663605,Sant Joan Pelós,festival,Q29,Spain,,,
Q23663366,Q23663366,festival,Q29,Spain,,,
Q23658027,Traditional Wedding Ceremony,festival,Q29,Spain,,,
Q23663217,Q23663217,festival,Q29,Spain,,,
Q23663368,Q23663368,festival,Q29,Spain,,,
Q23663326,Falles de Cullera,festival,Q29,Spain,,,
Q23662920,Q23662920,festival,Q29,Spain,,,
Q23894853,Q23894853,festival,Q29,Spain,,,
Q23663372,Q23663372,festival,Q29,Spain,,,
Q23661724,Q23661724,festival,Q29,Spain,,,
Q23894711,Q23894711,festival,Q29,Spain,,,
Q23894708,Q23894708,festival,Q29,Spain,,,
Q23661730,Q23661730,festival,Q29,Spain,,,
