unique_id,cluster_id
osmhub_2838957166,osmhub_2838957166
osmhub_3041302832,osmhub_3041302832
osmhub_3400754497,osmhub_3400754497
osmhub_3796929282,osmhub_3796929282
osmhub_3959167056,osmhub_3959167056
osmhub_4322055953,osmhub_4322055953
osmhub_4423339313,osmhub_4423339313
osmhub_4511443019,osmhub_4511443019
osmhub_4582613075,osmhub_4582613075
osmhub_4787788189,osmhub_4787788189
osmhub_4993248289,osmhub_4993248289
osmhub_4995403576,osmhub_4995403576
osmhub_5021370122,osmhub_5021370122
osmhub_5024239504,osmhub_5024239504
osmhub_5024239511,osmhub_5024239511
osmhub_5026479524,osmhub_10241003997
osmhub_5032200180,osmhub_5032200180
osmhub_5032200182,osmhub_5032200182
osmhub_5033265318,osmhub_5033265318
osmhub_5033266183,osmhub_5033266183
osmhub_5033266278,osmhub_5033266278
osmhub_5033266325,osmhub_5033266325
osmhub_5033266414,osmhub_5033266414
osmhub_5033266437,osmhub_5033266437
osmhub_5033266506,osmhub_5033266506
osmhub_5033266631,osmhub_5033266631
osmhub_5033266697,osmhub_5033266697
osmhub_5033266794,osmhub_5033266794
osmhub_5033267154,osmhub_5033267154
osmhub_5033267175,osmhub_5033267175
osmhub_5033267239,osmhub_5032200180
osmhub_5033267336,osmhub_5033267336
osmhub_5042030355,osmhub_5042030355
osmhub_5051758681,osmhub_5051758681
osmhub_5051758849,osmhub_5051758849
osmhub_5409811177,osmhub_5409811177
osmhub_5409811178,osmhub_5409811178
osmhub_6388268353,osmhub_12055131275
osmhub_7674038020,osmhub_7674038020
osmhub_7674038021,osmhub_7674038020
osmhub_7674038045,osmhub_7674038020
osmhub_7705182932,osmhub_7705182932
osmhub_7891982011,osmhub_7891982011
osmhub_7893503389,osmhub_7893503389
osmhub_7919008867,osmhub_7919008867
osmhub_10241003997,osmhub_10241003997
osmhub_11827243975,osmhub_11827243975
osmhub_12055131275,osmhub_12055131275
osmhub_12086952948,osmhub_12086952948
osmhub_12433641854,osmhub_12433641854
osmhub_12433641861,osmhub_12433641861
osmhub_12433641862,osmhub_12433641862
