unique_id,cluster_id
osm_1022292818,osm_1022287349
osm_1030163936,osm_1030163936
osm_1040561859,osm_1040561859
osm_1055880923,osm_1055880923
osm_1072328486,osm_1072328486
osm_1080379379,osm_1080379379
osm_1080383492,osm_1080383492
osm_1110197493,osm_1110197493
osm_1193041230,osm_1193041230
osm_1202956376,osm_1202956376
osm_1237251102,osm_1072328486
osm_1239734922,osm_1239734922
osm_1247896827,osm_1247896827
osm_1262941127,osm_1262941127
osm_1262984935,osm_1262984935
osm_1269987228,osm_1269987228
osm_1271094090,osm_1271094090
osm_1279107005,osm_1279107005
osm_1287464653,osm_1287464653
osm_1363862081,osm_1363862081
osm_1363862082,osm_1363862081
osm_1363862083,osm_1363862081
osm_1363866427,osm_1363862081
osm_1365142126,osm_1365142126
osm_1374428936,osm_1374428936
osm_1382865145,osm_1382865145
osm_1382872472,osm_1382872472
osm_1406755889,osm_1406755889
osm_1417723740,osm_1417723740
osm_1420663373,osm_1420663373
osm_1423803360,osm_1423803360
osm_1428598728,osm_1428598728
osm_1432376907,osm_1432376907
osm_1434206940,osm_1434206940
osm_1447847113,osm_1072328486
osm_1453199439,osm_1453199439
osm_1453200035,osm_1453199439
osm_1466700636,osm_1466700636
osm_1476005293,osm_1476005293
osm_1479928962,osm_1479928962
osm_1489442357,osm_1072328486
osm_1511360622,osm_1511360622
osm_1517579153,osm_1517579153
osm_1530449871,osm_1530449871
osm_1561040927,osm_1561040927
osm_1561162700,osm_1561162700
osm_1568475329,osm_1568475329
osm_1572246020,osm_1572246020
osm_1576291556,osm_1576291556
osm_1597527589,osm_1597527589
osm_1597534046,osm_1597534046
osm_1607130170,osm_1572246020
osm_1608334899,osm_1608334899
osm_1624743504,osm_1624743504
osm_1650033609,osm_1072328486
osm_1655792445,osm_106657674
osm_1681506665,osm_1681506665
osm_1685298979,osm_1685298979
osm_1693963249,osm_1693963249
osm_1693964278,osm_1693963249
osm_1693973000,osm_1693973000
osm_1709530978,osm_1709530978
osm_1710026802,osm_1710026802
osm_1725251808,osm_1725251808
osm_1733878863,osm_1072328486
osm_1745429494,osm_1745429494
osm_1746304940,osm_1746304940
osm_1758057110,osm_1758057110
osm_1768321196,osm_1768321196
osm_1773237851,osm_1568475329
osm_1782462958,osm_1782462958
osm_1782462970,osm_1782462958
osm_1782462971,osm_1782462958
osm_1782462973,osm_1782462958
osm_1782462979,osm_1782462958
osm_1838417140,osm_1838417140
osm_1862344573,osm_1862344573
osm_1865223851,osm_1865223851
osm_1901791271,osm_1901791271
osm_1905073560,osm_1905073560
osm_1916689738,osm_1916689738
osm_1916689739,osm_1916689739
osm_1924402765,osm_1924402765
osm_1933059024,osm_1933059024
osm_1933716968,osm_1933716968
osm_1942606167,osm_1916689738
osm_1951924306,osm_1951924306
osm_1970958835,osm_1970958835
osm_2115103686,osm_2115103686
osm_2117219553,osm_2117219553
osm_2124621615,osm_1608334899
osm_2125895442,osm_1693963249
osm_2128610139,osm_1072328486
osm_2133268890,osm_1576291556
osm_2133269332,osm_2133269332
osm_2133282683,osm_2133269332
osm_2133543759,osm_2133543759
osm_2133547731,osm_2133547731
osm_2138423704,osm_2138423704
osm_2144918298,osm_1709530978
osm_2149795396,osm_107152431
osm_2162178792,osm_2162178792
osm_2172299024,osm_2172299024
osm_2174319066,osm_2174319066
osm_2182964613,osm_2182964613
osm_2183006552,osm_2182964613
osm_2187836680,osm_2172299024
osm_2187992970,osm_2187992970
osm_2217921373,osm_106657674
osm_2233387578,osm_2233387578
osm_2297857311,osm_106657674
osm_2299065374,osm_2299065374
osm_2300719624,osm_2300719624
osm_2300742489,osm_2300719624
osm_2300742491,osm_2300719624
osm_2301991496,osm_2301991496
osm_2303357040,osm_2303357040
osm_2318297625,osm_2182964613
osm_2320551703,osm_2320551703
osm_2334350256,osm_2334350256
osm_2337218738,osm_1693963249
osm_2337234744,osm_1017442397
osm_2337234746,osm_1017442397
osm_2345279718,osm_2345279718
osm_2355880070,osm_2355880070
osm_2362721081,osm_2362721081
osm_2384426956,osm_2162178792
osm_2392330905,osm_2115103686
osm_2394615634,osm_1693963249
osm_2397995277,osm_2397995277
osm_2398920934,osm_2162178792
osm_2407577692,osm_2407577692
osm_2417681125,osm_2417681125
osm_2421609590,osm_1072328486
osm_2421613409,osm_1040561859
osm_2426673981,osm_1072328486
osm_2450401128,osm_2450401128
osm_2483422142,osm_2483422142
osm_2483459467,osm_2483422142
osm_2484663286,osm_2484663286
osm_2486469739,osm_1693963249
osm_2491089089,osm_2491089089
osm_2491089551,osm_2491089089
osm_2491089770,osm_2491089089
osm_2491091329,osm_2491089089
osm_1581729093,osm_10251506936
osm_2072190073,osm_2072190073
osm_3059106562,osm_10251506936
osm_3062563249,osm_10251506936
osm_3066248373,osm_10251506936
osm_3093686185,osm_10251506936
osm_3096785283,osm_10251506936
osm_4864668794,osm_4864668794
osm_5180522224,osm_5180522224
osm_5180522225,osm_302025826
osm_5180522226,osm_5180522226
osm_5212542321,osm_5212542321
osm_5442655034,osm_10251506936
osm_5553458443,osm_10251506936
osm_5553458445,osm_10251506936
osm_5553477097,osm_10251506936
osm_5553486831,osm_10251506936
osm_5553499533,osm_10251506936
osm_5553517359,osm_10251506936
osm_5579012621,osm_1031858956
osm_5814599319,osm_5814599319
osm_6154042286,osm_6154042286
osm_6992331152,osm_10251506936
osm_7260808762,osm_7260808762
osm_7896696785,osm_7896696785
osm_8462817579,osm_10251506936
osm_8493788510,osm_10251506936
osm_8825775825,osm_2072190073
osm_8825975317,osm_8825975317
osm_8826183717,osm_8826183717
osm_8826184247,osm_8826184247
osm_8826968817,osm_8826968817
osm_8826970017,osm_8826970017
osm_8826970117,osm_8826970117
osm_8826973417,osm_8826968817
osm_8835073617,osm_8835073617
osm_8846155117,osm_8846155117
osm_8867708018,osm_302025826
osm_9881819217,osm_10892744205
osm_10251506936,osm_10251506936
osm_10892744205,osm_10892744205
osm_10892749605,osm_10892744205
osm_11063320405,osm_11063320405
osm_13394817529,osm_10251506936
osm_13394859345,osm_10251506936
osm_13765623604,osm_13765623604
osm_13765658001,osm_10892744205
osm_31476719,osm_10251506936
osm_31569007,osm_10251506936
osm_31797871,osm_10251506936
osm_40701390,osm_40701390
osm_175506660,osm_175506660
osm_220507514,osm_10251506936
osm_220515083,osm_10251506936
osm_220570765,osm_10251506936
osm_220657012,osm_10251506936
osm_251846735,osm_251846735
osm_281028882,osm_281028882
osm_301752474,osm_10251506936
osm_301772622,osm_10251506936
osm_301774821,osm_10251506936
osm_301780080,osm_10251506936
osm_301780736,osm_10251506936
osm_301781999,osm_10251506936
osm_301896849,osm_10251506936
osm_301937641,osm_10251506936
osm_301945352,osm_10251506936
osm_301972635,osm_10251506936
osm_302022984,osm_10251506936
osm_302024107,osm_10251506936
osm_302025826,osm_302025826
osm_302363999,osm_10251506936
osm_302488131,osm_10251506936
osm_302546673,osm_10251506936
osm_302554136,osm_10251506936
osm_302592010,osm_10251506936
osm_302655566,osm_10251506936
osm_304550991,osm_302025826
osm_304636742,osm_10251506936
osm_304657238,osm_10251506936
osm_304774666,osm_10251506936
osm_304774667,osm_10251506936
osm_304776181,osm_10251506936
osm_304787875,osm_10251506936
osm_304788052,osm_10251506936
osm_304954052,osm_10251506936
osm_305028923,osm_10251506936
osm_305257643,osm_1031858956
osm_305383203,osm_305383203
osm_308076815,osm_308076815
osm_319497803,osm_1031858956
osm_424634359,osm_424634359
osm_424634360,osm_10892744205
osm_477966143,osm_1031858956
osm_490420364,osm_10251506936
osm_494731411,osm_4864668794
osm_536508497,osm_536508497
osm_562719744,osm_10251506936
osm_565016600,osm_10251506936
osm_579982420,osm_10251506936
osm_579982422,osm_10251506936
osm_579982423,osm_10251506936
osm_579982424,osm_10251506936
osm_579982425,osm_10251506936
osm_579982426,osm_10251506936
osm_579982427,osm_10251506936
osm_612499887,osm_308076815
osm_612499888,osm_612499888
osm_612743528,osm_612743528
osm_911870035,osm_10251506936
osm_1031858956,osm_1031858956
osm_1093266913,osm_1031858956
osm_1093922409,osm_1031858956
osm_1093922444,osm_1031858956
osm_1107589857,osm_1031858956
osm_1108416131,osm_1031858956
osm_1216646940,osm_1216646940
osm_1267821165,osm_1031858956
osm_1307979877,osm_1307979877
osm_1329676703,osm_1329676703
osm_4067493,osm_10251506936
osm_8067498,osm_10251506936
osm_356775134,osm_356775134
osm_356775512,osm_356775512
osm_356778141,osm_356778141
osm_356779702,osm_356779702
osm_356780282,osm_356780282
osm_356781431,osm_356781431
osm_356782325,osm_356782325
osm_356782341,osm_356782341
osm_356782534,osm_356782534
osm_356783131,osm_356783131
osm_356784339,osm_356784339
osm_356784627,osm_356784627
osm_356786534,osm_356780282
osm_356786761,osm_356786761
osm_356797502,osm_356797502
osm_356797705,osm_356797705
osm_356798728,osm_356798728
osm_356799578,osm_356799578
osm_356799588,osm_356780282
osm_356799707,osm_356799707
osm_356800347,osm_356800347
osm_356800350,osm_356800347
osm_356804115,osm_356804115
osm_356804516,osm_356804516
osm_356805304,osm_356805304
osm_356807911,osm_356807911
osm_356809852,osm_356809852
osm_356809943,osm_356809943
osm_356811727,osm_356778141
osm_356811731,osm_356778141
osm_356813147,osm_356813147
osm_356813854,osm_356813854
osm_356814219,osm_356814219
osm_356814350,osm_356814350
osm_356814586,osm_356814586
osm_356814800,osm_356814800
osm_356814938,osm_356814938
osm_356816300,osm_356816300
osm_356816517,osm_356816517
osm_356817024,osm_356817024
osm_356817625,osm_356780282
osm_356820087,osm_356820087
osm_356820965,osm_356780282
osm_356820972,osm_356780282
osm_356820990,osm_356780282
osm_356821519,osm_356780282
osm_356822031,osm_356780282
osm_356822041,osm_356780282
osm_356822238,osm_356780282
osm_356822553,osm_356780282
osm_356823264,osm_356823264
osm_356823549,osm_356823549
osm_356823565,osm_356823549
osm_356823751,osm_356823751
osm_356823809,osm_356823809
osm_356824553,osm_356824553
osm_356824576,osm_356824553
osm_356826075,osm_356826075
osm_356826644,osm_356826644
osm_356826795,osm_356826795
osm_356827222,osm_356827222
osm_356827266,osm_356827266
osm_356827427,osm_356780282
osm_356827439,osm_356780282
osm_356827533,osm_356780282
osm_356827686,osm_356780282
osm_356827731,osm_356780282
osm_356827801,osm_356827801
osm_356827956,osm_356827956
osm_356827959,osm_356827956
osm_356828668,osm_356828668
osm_356828677,osm_356828668
osm_356828703,osm_356828668
osm_356829999,osm_356829999
osm_356830994,osm_356830994
osm_356831470,osm_356780282
osm_356831519,osm_356780282
osm_356831521,osm_356780282
osm_356831595,osm_356780282
osm_356831606,osm_356780282
osm_356831708,osm_356831708
osm_356832641,osm_356832641
osm_356839546,osm_356775512
osm_356839635,osm_356839635
osm_356839704,osm_356839704
osm_356839751,osm_356780282
osm_356839902,osm_356782341
osm_356840054,osm_356780282
osm_356840112,osm_356780282
osm_356840130,osm_356840130
osm_356840258,osm_356840258
osm_356841269,osm_356841269
osm_356841564,osm_356780282
osm_356841606,osm_356841606
osm_356841695,osm_356841695
osm_356842019,osm_356842019
osm_356842411,osm_356842411
osm_356842557,osm_356780282
osm_356842624,osm_356842624
osm_356842834,osm_356842834
osm_356843060,osm_356843060
osm_356843094,osm_356843094
osm_356843114,osm_356843094
osm_356843215,osm_356843215
osm_356843299,osm_356843299
osm_356843569,osm_356843569
osm_356843587,osm_356780282
osm_356843592,osm_356843592
osm_356843701,osm_356843701
osm_356843833,osm_356843833
osm_356843846,osm_356843846
osm_356844187,osm_356844187
osm_356844223,osm_356780282
osm_356844338,osm_356844338
osm_356844363,osm_356844363
osm_356844541,osm_356844541
osm_356844582,osm_356842019
osm_356844819,osm_356844819
osm_356844839,osm_356844839
osm_356844858,osm_356844858
osm_356844892,osm_356842624
osm_356844912,osm_356844912
osm_356844917,osm_356844917
osm_356844922,osm_356780282
osm_356844926,osm_356844926
osm_356844984,osm_356844984
osm_356844992,osm_356844992
osm_356844996,osm_356844996
osm_356845002,osm_356845002
osm_356845004,osm_356845004
osm_356845011,osm_356845011
osm_356845035,osm_356845035
osm_356845069,osm_356845069
osm_356845115,osm_356845115
osm_356845318,osm_356845318
osm_356845331,osm_356845331
osm_356845352,osm_356845352
osm_356845354,osm_356780282
osm_356845364,osm_356845364
osm_356845416,osm_356780282
osm_356845456,osm_356780282
osm_356845474,osm_356780282
osm_356845496,osm_356780282
osm_356845554,osm_356823549
osm_356845571,osm_356823809
osm_356845574,osm_356823809
osm_356845578,osm_356845578
osm_356845587,osm_356845587
osm_356845602,osm_356845602
osm_356845616,osm_356845616
osm_356845640,osm_356845640
osm_356845644,osm_356845644
osm_356845653,osm_356780282
osm_356845696,osm_356780282
osm_356845713,osm_356845713
osm_356845726,osm_356845726
osm_356845738,osm_356780282
osm_356845740,osm_356780282
osm_356845744,osm_356845744
osm_356845794,osm_356845794
osm_356845838,osm_356780282
osm_356845840,osm_356780282
osm_356845842,osm_356780282
