unique_id,cluster_id
osmacc_1261443641,osmacc_102619665
osmacc_1282022080,osmacc_102619665
osmacc_1282030471,osmacc_114037227
osmacc_1376096677,osmacc_102619665
osmacc_1388417665,osmacc_114037227
osmacc_1423843276,osmacc_102619665
osmacc_1438165889,osmacc_102619665
osmacc_1470755460,osmacc_102619665
osmacc_1543331646,osmacc_102619665
osmacc_1840611301,osmacc_167411303
osmacc_1847659752,osmacc_102619665
osmacc_1849130104,osmacc_1849130104
osmacc_2229500846,osmacc_2229500846
osmacc_2342436133,osmacc_102619665
osmacc_2376523808,osmacc_2376523808
osmacc_2377569671,osmacc_102619665
osmacc_2399954979,osmacc_2399954979
osmacc_2406270601,osmacc_102619665
osmacc_2421677844,osmacc_114037227
osmacc_2431097856,osmacc_102619665
osmacc_2562630923,osmacc_2562630923
osmacc_2618921380,osmacc_102619665
osmacc_2878372440,osmacc_102619665
osmacc_2964150023,osmacc_2964150023
osmacc_3005750474,osmacc_102619665
osmacc_3019308699,osmacc_102619665
osmacc_3025039610,osmacc_114037227
osmacc_3029306354,osmacc_102619665
osmacc_3030668960,osmacc_102619665
osmacc_3599206493,osmacc_102619665
osmacc_3642084293,osmacc_102619665
osmacc_3654050832,osmacc_3654050832
osmacc_3674184206,osmacc_102619665
osmacc_3675304694,osmacc_102619665
osmacc_3676719625,osmacc_102619665
osmacc_3705817246,osmacc_102619665
osmacc_3726531026,osmacc_1241939542
osmacc_3811527860,osmacc_102619665
osmacc_3847575543,osmacc_109666096
osmacc_3994091161,osmacc_1241939542
osmacc_4040550718,osmacc_171556755
osmacc_4058921910,osmacc_12729874064
osmacc_4112394905,osmacc_102619665
osmacc_4159780712,osmacc_4159780712
osmacc_4185290490,osmacc_102619665
osmacc_4214149092,osmacc_102619665
osmacc_4223244991,osmacc_102619665
osmacc_4307024700,osmacc_102619665
osmacc_4329394696,osmacc_114037227
osmacc_4332460947,osmacc_1241939542
osmacc_4340176590,osmacc_102619665
osmacc_4349576900,osmacc_108221960
osmacc_4358576100,osmacc_4358576100
osmacc_4417946332,osmacc_4417946332
