cluster_id,n_nodes,n_edges,density,cluster_centralisation
osmhub_11676715369,1,0.0,,
osmhub_7792897579,1,0.0,,
osmhub_9506696284,1,0.0,,
osmhub_262686825,1,0.0,,
osmhub_1214656144,1,0.0,,
osmhub_4317472741,1,0.0,,
osmhub_2269938398,1,0.0,,
osmhub_247328007,1,0.0,,
osmhub_12227964163,1,0.0,,
osmhub_26747495,1,0.0,,
osmhub_1941801984,1,0.0,,
osmhub_2188190135,1,0.0,,
osmhub_5156837725,1,0.0,,
osmhub_3397396650,1,0.0,,
osmhub_2087020702,1,0.0,,
osmhub_1539205767,1,0.0,,
osmhub_166501712,1,0.0,,
osmhub_582553764,2,1.0,1.0,
osmhub_8041901931,1,0.0,,
osmhub_9454904480,2,1.0,1.0,
osmhub_6004548609,1,0.0,,
osmhub_1037784653,1,0.0,,
osmhub_10294553601,1,0.0,,
osmhub_1314893337,1,0.0,,
osmhub_27423935,1,0.0,,
osmhub_1729297257,2,1.0,1.0,
osmhub_2392540912,1,0.0,,
osmhub_12461695569,1,0.0,,
osmhub_368997125,1,0.0,,
osmhub_1581914399,4,6.0,1.0,0.0
osmhub_7717390978,1,0.0,,
osmhub_10726000864,2,1.0,1.0,
osmhub_13749481231,2,1.0,1.0,
osmhub_13774143192,1,0.0,,
osmhub_307412768,1,0.0,,
osmhub_443775670,1,0.0,,
osmhub_39841728,1,0.0,,
osmhub_8091035768,1,0.0,,
osmhub_4109363789,2,1.0,1.0,
osmhub_4719640712,1,0.0,,
osmhub_53802781,1,0.0,,
osmhub_834633432,1,0.0,,
osmhub_2939764648,1,0.0,,
osmhub_12294117216,1,0.0,,
osmhub_83233270,1,0.0,,
osmhub_1631997460,2,1.0,1.0,
osmhub_9554706318,1,0.0,,
osmhub_4124586741,1,0.0,,
osmhub_1744115922,1,0.0,,
osmhub_442131017,2,1.0,1.0,
osmhub_3778822187,1,0.0,,
osmhub_108092258,1,0.0,,
osmhub_3874978250,1,0.0,,
osmhub_5324415604,1,0.0,,
osmhub_106936958,1,0.0,,
osmhub_1162981728,1,0.0,,
osmhub_415284333,2,1.0,1.0,
osmhub_7273461306,1,0.0,,
osmhub_10249737162,1,0.0,,
osmhub_3841631444,1,0.0,,
osmhub_1042038791,1,0.0,,
osmhub_7525922367,1,0.0,,
osmhub_1218611799,1,0.0,,
osmhub_4778143562,1,0.0,,
osmhub_1901192488,1,0.0,,
osmhub_3840279226,1,0.0,,
osmhub_1010230510,1,0.0,,
osmhub_815685027,1,0.0,,
osmhub_1423429159,1,0.0,,
osmhub_675417016,1,0.0,,
osmhub_1198134739,1,0.0,,
osmhub_3603933963,1,0.0,,
osmhub_729547465,1,0.0,,
osmhub_11056845809,1,0.0,,
osmhub_6553465075,1,0.0,,
osmhub_28866893,4,4.0,0.6666666666666666,0.6666666666666666
osmhub_2346883193,1,0.0,,
osmhub_6990771938,1,0.0,,
osmhub_7773976736,1,0.0,,
osmhub_6400857556,1,0.0,,
osmhub_306504206,1,0.0,,
osmhub_1161770204,1,0.0,,
osmhub_7905097507,1,0.0,,
osmhub_1439156010,1,0.0,,
osmhub_13420782257,2,1.0,1.0,
osmhub_13505344043,1,0.0,,
osmhub_127751873,1,0.0,,
osmhub_1303002081,1,0.0,,
osmhub_2104323180,1,0.0,,
osmhub_5952715497,1,0.0,,
osmhub_259132917,1,0.0,,
osmhub_1577316756,1,0.0,,
osmhub_1849566212,1,0.0,,
osmhub_1746178633,1,0.0,,
osmhub_11786469780,1,0.0,,
osmhub_3229712459,1,0.0,,
osmhub_12956959515,1,0.0,,
osmhub_3877090354,1,0.0,,
osmhub_697290380,1,0.0,,
osmhub_7214745585,1,0.0,,
osmhub_429882252,1,0.0,,
osmhub_92214933,1,0.0,,
osmhub_99401981,1,0.0,,
osmhub_4178442843,1,0.0,,
osmhub_2567219252,1,0.0,,
osmhub_11033087162,1,0.0,,
osmhub_334781399,2,1.0,1.0,
osmhub_403762114,1,0.0,,
osmhub_368887955,1,0.0,,
osmhub_5303127342,1,0.0,,
osmhub_5244333684,1,0.0,,
osmhub_6040573008,1,0.0,,
osmhub_6654380623,1,0.0,,
osmhub_7052605729,1,0.0,,
osmhub_278692958,1,0.0,,
osmhub_291686079,1,0.0,,
osmhub_1527999927,1,0.0,,
osmhub_2687602339,1,0.0,,
osmhub_3609204449,1,0.0,,
osmhub_7657225609,1,0.0,,
osmhub_265838293,1,0.0,,
osmhub_282078115,1,0.0,,
osmhub_1846499856,1,0.0,,
osmhub_1382683506,1,0.0,,
osmhub_260231832,1,0.0,,
osmhub_6446568541,1,0.0,,
osmhub_3784420811,1,0.0,,
osmhub_4266656091,1,0.0,,
osmhub_573277834,1,0.0,,
osmhub_331875825,1,0.0,,
osmhub_287685853,1,0.0,,
osmhub_368888798,1,0.0,,
osmhub_285572702,1,0.0,,
osmhub_12699251352,1,0.0,,
osmhub_565915850,1,0.0,,
osmhub_648273514,1,0.0,,
osmhub_9121882863,1,0.0,,
osmhub_737404590,1,0.0,,
osmhub_431028052,2,1.0,1.0,
osmhub_1763998817,2,1.0,1.0,
osmhub_3573963293,1,0.0,,
osmhub_281366971,1,0.0,,
osmhub_12517584106,1,0.0,,
osmhub_1871072621,1,0.0,,
osmhub_7241602201,1,0.0,,
osmhub_4866498062,1,0.0,,
osmhub_7758175206,1,0.0,,
osmhub_374015786,1,0.0,,
osmhub_1449391078,1,0.0,,
osmhub_408157341,1,0.0,,
osmhub_4821362122,1,0.0,,
osmhub_2093025378,1,0.0,,
osmhub_5884632722,1,0.0,,
osmhub_3121926153,1,0.0,,
osmhub_4351908261,1,0.0,,
osmhub_4637631384,1,0.0,,
osmhub_329653313,1,0.0,,
osmhub_1825902614,1,0.0,,
osmhub_13017874758,2,1.0,1.0,
osmhub_1228583305,1,0.0,,
osmhub_12386545,1,0.0,,
osmhub_822544887,1,0.0,,
osmhub_2697796113,1,0.0,,
osmhub_2588336393,1,0.0,,
osmhub_3052485795,1,0.0,,
osmhub_993503040,1,0.0,,
osmhub_7831376089,1,0.0,,
osmhub_3182650877,1,0.0,,
osmhub_301621643,1,0.0,,
osmhub_11124762405,1,0.0,,
osmhub_253279206,1,0.0,,
osmhub_9875953725,1,0.0,,
osmhub_7660226015,1,0.0,,
osmhub_421424728,1,0.0,,
osmhub_4210384700,1,0.0,,
