clerical_match_score,found_by_blocking_rules,match_weight,match_probability,unique_id_l,unique_id_r,name_clean_l,name_clean_r,gamma_name_clean,bf_name_clean,entity_type_l,entity_type_r,gamma_entity_type,bf_entity_type,iata_code_l,iata_code_r,gamma_iata_code,bf_iata_code,lon_l,lon_r,lat_l,lat_r,gamma_lat_lon,bf_lat_lon,true_label_l,true_label_r,match_key
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_4565735089,osmhub_6775665128,la fortunaveneciaquesada,cañas,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2130557,-84.213054,10.0101254,10.0099958,3,98572.08493958534,49003,49063,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_4565735089,osmhub_6775665129,la fortunaveneciaquesada,liberia,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2130557,-84.2130534,10.0101254,10.0099481,3,98572.08493958534,49003,49064,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_4565735089,osmhub_6775665130,la fortunaveneciaquesada,peñas blancasla cruz,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2130557,-84.2130527,10.0101254,10.0098989,3,98572.08493958534,49003,49065,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_4565735089,osmhub_6775665131,la fortunaveneciaquesada,san ramón,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2130557,-84.213052,10.0101254,10.0098487,3,98572.08493958534,49003,49066,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_4565735089,osmhub_6775665132,la fortunaveneciaquesada,palmares,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2130557,-84.2130514,10.0101254,10.0098012,3,98572.08493958534,49003,49067,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_4565735089,osmhub_6775665133,la fortunaveneciaquesada,esparza,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2130557,-84.2130507,10.0101254,10.0097485,3,98572.08493958534,49003,49068,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_4565735089,osmhub_6775665134,la fortunaveneciaquesada,puntarenas,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2130557,-84.2130494,10.0101254,10.0096534,3,98572.08493958534,49003,49069,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_4565735089,osmhub_6775700314,la fortunaveneciaquesada,tilarán,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2130557,-84.2130475,10.0101254,10.0095066,3,98572.08493958534,49003,49071,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_3957038225,osmhub_7221626952,las vueltasguácima arribacalle sánchez,jaulares dulce nombre laguna fraijanes,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2164258,-84.2162562,10.014654,10.0149329,3,98572.08493958534,48978,49076,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_3957038225,osmhub_7221626953,las vueltasguácima arribacalle sánchez,los ángeles sabanilla,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2164258,-84.2162295,10.014654,10.0147038,3,98572.08493958534,48978,49077,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_3957038225,osmhub_7223869327,las vueltasguácima arribacalle sánchez,barrio san josé calle vargas,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2164258,-84.2161309,10.014654,10.0147303,3,98572.08493958534,48978,49078,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_3957038225,osmhub_7223869328,las vueltasguácima arribacalle sánchez,monserrat la pradera,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2164258,-84.2160527,10.014654,10.0149707,3,98572.08493958534,48978,49079,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_3957038225,osmhub_8207338640,las vueltasguácima arribacalle sánchez,terminal el erizo,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2164258,-84.2170015,10.014654,10.0144918,3,98572.08493958534,48978,49084,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_3957038225,osmhub_8207338641,las vueltasguácima arribacalle sánchez,terminal fátima,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2164258,-84.2170929,10.014654,10.0144623,3,98572.08493958534,48978,49085,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_10856463145,osmhub_10856463146,terminal cahuita,terminal valle la estrella,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.0836927,-84.0839263,9.9391111,9.939019,3,98572.08493958534,49100,49101,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_10856463145,osmhub_10856463147,terminal cahuita,terminal manzanillo,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.0836927,-84.0836304,9.9391111,9.9391396,3,98572.08493958534,49100,49102,2
0.0,True,15.537312542152051,0.9999789722047083,osmhub_10856463145,osmhub_10856470385,terminal cahuita,terminal miramar,1,2167.000616383086,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.0836927,-84.0835962,9.9391111,9.9391848,3,98572.08493958534,49100,49103,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_10856515074,osmhub_10856515075,terminal san pablo de león cortés,terminal santa maría de dota,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.079569,-84.0795725,9.9236463,9.9235531,3,98572.08493958534,49105,49106,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_10856515074,osmhub_10856515076,terminal san pablo de león cortés,terminal san marcos de tarrazú,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.079569,-84.0797056,9.9236463,9.9236175,3,98572.08493958534,49105,49107,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_10856515074,osmhub_10856515077,terminal san pablo de león cortés,terminal frailes de desamparados,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.079569,-84.0797079,9.9236463,9.9234922,3,98572.08493958534,49105,49108,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_10856632418,osmhub_10856632419,terminal san pablo de turrubares,terminal colón de mora,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.0869675,-84.0869782,9.9357935,9.9357375,3,98572.08493958534,49110,49111,2
0.0,True,15.537312542152051,0.9999789722047083,osmhub_10856632418,osmhub_10856632420,terminal san pablo de turrubares,terminal santiago de puriscal,1,2167.000616383086,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.0869675,-84.0870166,9.9357935,9.9356657,3,98572.08493958534,49110,49112,2
0.0,True,15.537312542152051,0.9999789722047083,osmhub_10856463145,osmhub_10857155831,terminal cahuita,terminal ciudad quesada,1,2167.000616383086,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.0836927,-84.0837724,9.9391111,9.9392203,3,98572.08493958534,49100,49117,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_10856463145,osmhub_10857155832,terminal cahuita,terminal monteverde,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.0836927,-84.0838833,9.9391111,9.9391956,3,98572.08493958534,49100,49118,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_10856463145,osmhub_10857155833,terminal cahuita,terminal jacó,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.0836927,-84.0836573,9.9391111,9.9392464,3,98572.08493958534,49100,49119,2
0.0,True,15.537312542152051,0.9999789722047083,osmhub_10856463145,osmhub_10857155835,terminal cahuita,terminal venecia,1,2167.000616383086,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.0836927,-84.0839296,9.9391111,9.9391881,3,98572.08493958534,49100,49120,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_10856463145,osmhub_10857155838,terminal cahuita,terminal los chiles,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.0836927,-84.0837148,9.9391111,9.9392338,3,98572.08493958534,49100,49121,2
0.0,True,15.537312542152051,0.9999789722047083,osmhub_10856463145,osmhub_10857155839,terminal cahuita,terminal la fortuna,1,2167.000616383086,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.0836927,-84.0838296,9.9391111,9.9392086,3,98572.08493958534,49100,49122,2
0.0,True,13.977883070498057,0.9999380257893458,osmhub_10856463145,osmhub_10876286058,terminal cahuita,terminal cariari,1,2167.000616383086,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.0836927,-84.0787434,9.9391111,9.9409651,2,33444.05242265314,49100,49134,2
0.0,True,13.977883070498057,0.9999380257893458,osmhub_10856463145,osmhub_10877070810,terminal cahuita,terminal heredia,1,2167.000616383086,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.0836927,-84.0786122,9.9391111,9.9380354,2,33444.05242265314,49100,49142,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_10963653583,osmhub_10963737912,terminal san joaquín,terminal heredia,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.2173541,-84.216678,10.0156261,10.0156428,3,98572.08493958534,49145,49147,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_11282458401,osmhub_11282458402,terminal paso canoas,terminal quepos,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.077605,-84.0775032,9.9256319,9.9256032,3,98572.08493958534,49152,49153,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_11282458401,osmhub_11282458403,terminal paso canoas,terminal manuel antonio,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.077605,-84.0773856,9.9256319,9.9255936,3,98572.08493958534,49152,49154,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_11282458401,osmhub_11282458404,terminal paso canoas,terminal agua buena,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.077605,-84.0772307,9.9256319,9.9255823,3,98572.08493958534,49152,49155,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_11282458401,osmhub_11282458405,terminal paso canoas,terminal golfito,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.077605,-84.077597,9.9256319,9.9257879,3,98572.08493958534,49152,49156,2
0.0,True,2.4445129095885227,0.8448028747506426,osmhub_11282458401,osmhub_11282458406,terminal paso canoas,terminal david,0,0.2480467940400626,Bus,Bus,1,2.226079745459754,,,-1,1.0,-84.077605,-84.0776006,9.9256319,9.9257095,3,98572.08493958534,49152,49157,2
