cluster_id,n_nodes,n_edges,density,cluster_centralisation
osm_5849007689,4,5.0,0.8333333333333334,0.3333333333333333
osm_1361587670,2,1.0,1.0,
osm_358702873,2,1.0,1.0,
osm_6736742858,2,1.0,1.0,
osm_372255147,3,3.0,1.0,0.0
osm_2492198579,2,1.0,1.0,
osm_357758563,3,3.0,1.0,0.0
osm_356809972,2,1.0,1.0,
osm_1221652542,6,9.0,0.6,0.3
osm_268419515,2,1.0,1.0,
osm_1067959284,2,1.0,1.0,
osm_357258286,178,794.0,0.05040309782263696,0.12615562403697997
osm_4789731621,2,1.0,1.0,
osm_4476880536,2,1.0,1.0,
osm_3706788050,2,1.0,1.0,
osm_7086664730,2,1.0,1.0,
osm_241429075,5,5.0,0.5,0.4166666666666667
osm_358278738,3,2.0,0.6666666666666666,1.0
osm_358278978,2,1.0,1.0,
osm_4687918243,5,10.0,1.0,0.0
osm_655580461,2,1.0,1.0,
osm_11332119752,121,922.0,0.12699724517906336,0.14201680672268907
osm_278101742,2,1.0,1.0,
osm_1652694014,27,190.0,0.5413105413105413,0.16307692307692306
osm_4630953457,2,1.0,1.0,
osm_247073336,5,5.0,0.5,0.4166666666666667
osm_902463257,2,1.0,1.0,
osm_1198657535,114,1558.0,0.24188790560471976,0.2852402022756005
osm_3846219565,6,15.0,1.0,0.0
osm_1477585315,2,1.0,1.0,
osm_368865006,2,1.0,1.0,
osm_1223754100,136,542.0,0.05904139433551198,0.12802653399668326
osm_4341098990,2,1.0,1.0,
osm_321470525,2,1.0,1.0,
osm_141190639,2,1.0,1.0,
osm_6918935117,4,6.0,1.0,0.0
osm_10653931733,6,15.0,1.0,0.0
osm_3092737190,8,28.0,1.0,0.0
osm_4419841294,3,3.0,1.0,0.0
osm_324710829,2,1.0,1.0,
np_Q15644043,2,1.0,1.0,
np_Q12744079,3,3.0,1.0,0.0
osm_5668785765,2,1.0,1.0,
osm_1617213379,2,1.0,1.0,
osm_2072549536,13,38.0,0.48717948717948717,0.11363636363636363
osm_12513347722,4,6.0,1.0,0.0
osm_1722048772,2,1.0,1.0,
osm_354132720,2,1.0,1.0,
osm_3539683936,2,1.0,1.0,
osm_2804726961,2,1.0,1.0,
osm_10771741188,28,114.0,0.30158730158730157,0.39316239316239315
osm_4151985389,2,1.0,1.0,
osm_5194631850,2,1.0,1.0,
osm_133131956,3,2.0,0.6666666666666666,1.0
osm_103810997,2,1.0,1.0,
osm_2547617555,5,10.0,1.0,0.0
osm_312826838,2,1.0,1.0,
osm_3217749922,2,1.0,1.0,
osm_109743112,10,12.0,0.26666666666666666,0.2222222222222222
osm_526469636,2,1.0,1.0,
osm_7671899025,5,10.0,1.0,0.0
osm_1784178313,2,1.0,1.0,
osm_2501747950,5,5.0,0.5,0.4166666666666667
osm_31452361,3,2.0,0.6666666666666666,1.0
osm_6627215625,2,1.0,1.0,
osm_1409480582,7,8.0,0.38095238095238093,0.4
osm_1074583361,10,25.0,0.5555555555555556,0.4166666666666667
np_Q94521243,2,1.0,1.0,
osm_5141956637,2,1.0,1.0,
osm_2164588175,2,1.0,1.0,
osm_1240007898,2,1.0,1.0,
osm_14212245,7,9.0,0.42857142857142855,0.3333333333333333
osm_8764595921,8,28.0,1.0,0.0
osm_5255683523,1,0.0,,
osm_356551913,1,0.0,,
osm_1138871130,1,0.0,,
osm_356819350,1,0.0,,
osm_303383849,1,0.0,,
osm_757669342,1,0.0,,
osm_9140808466,1,0.0,,
osm_5506773521,1,0.0,,
osm_1132185117,1,0.0,,
osm_1754710191,1,0.0,,
np_Q108101590,1,0.0,,
np_Q18166384,1,0.0,,
np_Q67582838,1,0.0,,
np_Q17775961,1,0.0,,
np_Q108073753,1,0.0,,
np_Q30015527,1,0.0,,
np_Q1026283,1,0.0,,
np_Q10512632,1,0.0,,
np_Q30158189,1,0.0,,
np_Q136524961,1,0.0,,
ta_Q6904640,1,0.0,,
ta_Q6825235,1,0.0,,
ta_Q461314,1,0.0,,
ta_Q5159775,1,0.0,,
osm_1076181002,1,0.0,,
osm_12640751366,1,0.0,,
osm_2367786096,1,0.0,,
osm_1500823333,1,0.0,,
osm_3995005812,1,0.0,,
osm_3884541136,1,0.0,,
osm_456128627,1,0.0,,
osm_13690647901,1,0.0,,
osm_357770265,1,0.0,,
osm_4890366005,1,0.0,,
osm_2933151487,1,0.0,,
osm_4236811390,1,0.0,,
osm_9999376281,1,0.0,,
osm_471087183,1,0.0,,
osm_1364989207,1,0.0,,
osm_1393990758,1,0.0,,
osm_1163059474,1,0.0,,
