cluster_id,n_nodes,n_edges,density,cluster_centralisation
osmacc_2934027747,1,0.0,,
osmacc_7895724785,1,0.0,,
osmacc_10970851436,1,0.0,,
osmacc_4417367438,1,0.0,,
osmacc_3496953315,1,0.0,,
osmacc_2615897555,1,0.0,,
osmacc_2398113979,1,0.0,,
osmacc_7518946649,1,0.0,,
osmacc_31250885,1,0.0,,
osmacc_704239900,1,0.0,,
osmacc_506595323,1,0.0,,
osmacc_919933057,1,0.0,,
osmacc_74194350,1,0.0,,
osmacc_7624136720,1,0.0,,
osmacc_304073796,1,0.0,,
osmacc_11221813236,1,0.0,,
osmacc_620534497,1,0.0,,
osmacc_4533219090,1,0.0,,
osmacc_4918859522,1,0.0,,
osmacc_10130431451,1,0.0,,
osmacc_6566084185,1,0.0,,
osmacc_12405370665,1,0.0,,
osmacc_7193534185,1,0.0,,
osmacc_374118952,1,0.0,,
osmacc_4815066321,1,0.0,,
osmacc_13752070119,1,0.0,,
osmacc_4627763694,1,0.0,,
osmacc_5325395923,1,0.0,,
osmacc_4740781522,1,0.0,,
osmacc_1779656176,1,0.0,,
osmacc_197889337,1,0.0,,
osmacc_10926774063,9,17.0,0.4722222222222222,0.19642857142857142
osmacc_4780127822,6,8.0,0.5333333333333333,0.4
osmacc_153947463,2,1.0,1.0,
osmacc_1224932688,2,1.0,1.0,
osmacc_1314705118,16,62.0,0.5166666666666667,0.3238095238095238
osmacc_11309883788,4,6.0,1.0,0.0
osmacc_177966953,2,1.0,1.0,
osmacc_3103903630,5,10.0,1.0,0.0
osmacc_4707610291,6,15.0,1.0,0.0
osmacc_2555365335,2,1.0,1.0,
osmacc_13072487903,18,153.0,1.0,0.0
osmacc_258975404,2,1.0,1.0,
osmacc_13057209958,2,1.0,1.0,
osmacc_1867588349,8,9.0,0.32142857142857145,0.5238095238095238
osmacc_1112551950,79,300.0,0.09737098344693282,0.12370962370962371
osmacc_33196642,10,45.0,1.0,0.0
osmacc_673243217,4,6.0,1.0,0.0
osmacc_3962670320,3,3.0,1.0,0.0
osmacc_116386028,8,22.0,0.7857142857142857,0.2857142857142857
osmacc_9622949772,2,1.0,1.0,
osmacc_7681304136,3,3.0,1.0,0.0
osmacc_10908449242,10,45.0,1.0,0.0
osmacc_1054352870,3,3.0,1.0,0.0
osmacc_2415661349,2,1.0,1.0,
osmacc_7603404685,2,1.0,1.0,
