cluster_id,unique_id,activity_wikidata_id,name,name_clean,activity_type,destination_id,destination_name,lat,lon
act_Q2020031,act_Q2020031,Q2020031,Tumulus of Brustem,tumulus of brustem,Archaeological Site,Q31,Belgium,50.7926,5.24247
act_Q1144126,act_Q1689437,Q1689437,Emchi-Tepe,emchi-tepe,Archaeological Site,Q889,Afghanistan,36.70555556,65.78916667
act_Q1476222,act_Q1721920,Q1721920,New Kalabsha,new kalabsha,Archaeological Site,Q79,Egypt,23.96101,32.86669
act_Q1722063,act_Q1722063,Q1722063,Kalasasaya,kalasasaya,Archaeological Site,Q750,Bolivia,-16.555,-68.67361111
act_Q1794667,act_Q1794667,Q1794667,Kutlug-Tepe,kutlug-tepe,Archaeological Site,Q889,Afghanistan,37.08333333,66.71666667
act_Q855265,act_Q855265,Q855265,Biahmu,biahmu,Archaeological Site,Q79,Egypt,29.3675,30.852777777
act_Q3648200,act_Q733610,Q733610,Erebuni Fortress,erebuni fortress,Archaeological Site,Q399,Armenia,40.140647,44.537949
act_Q101583,act_Q750212,Q750212,Deir el-Medina,deir el-medina,Archaeological Site,Q79,Egypt,25.728333333,32.601388888
act_Q12244492,act_Q1617203,Q1617203,Hibis,hibis,Archaeological Site,Q79,Egypt,25.47655,30.555919444
act_Q690841,act_Q690841,Q690841,Meir,meir,Archaeological Site,Q79,Egypt,27.409722222,30.711666666
act_Q1734973,act_Q1734973,Q1734973,Ras Kouroun,ras kouroun,Archaeological Site,Q79,Egypt,31.218175,33.077717
act_Q124831396,act_Q773565,Q773565,Precinct of Mut,precinct of mut,Archaeological Site,Q79,Egypt,25.711823,32.655466
act_Q1568438,act_Q1568438,Q1568438,Abusir,abusir,Archaeological Site,Q79,Egypt,30.946111111,29.518611111
act_Q857845,act_Q857845,Q857845,Ai-Khanoum,ai-khanoum,Archaeological Site,Q889,Afghanistan,37.166388888,69.410833333
act_Q755734,act_Q755734,Q755734,Athribis,athribis,Archaeological Site,Q79,Egypt,30.466667,31.183333
act_Q688720,act_Q688720,Q688720,Pyramid of Seila,pyramid of seila,Archaeological Site,Q79,Egypt,29.382588888,31.053580555
act_Q101583,act_Q846281,Q846281,QV55,qv55,Archaeological Site,Q79,Egypt,25.7267739,32.5924446
act_Q1145180,act_Q1607758,Q1607758,Heracleion,heracleion,Archaeological Site,Q79,Egypt,31.304167,30.100556
act_Q1686128,act_Q1686128,Q1686128,Rifeh,rifeh,Archaeological Site,Q79,Egypt,27.1,31.175
act_Q2076118,act_Q2076118,Q2076118,Ixiamas Fortress,ixiamas fortress,Archaeological Site,Q750,Bolivia,-13.89368333,-68.1585
act_Q101583,act_Q1636434,Q1636434,KV55,kv55,Archaeological Site,Q79,Egypt,25.733333333,32.6
act_Q1660449,act_Q1660449,Q1660449,Le Cheslé,le cheslé,Archaeological Site,Q31,Belgium,50.16333,5.6472
act_Q1734339,act_Q1734339,Q1734339,Q1734339,q1734339,Archaeological Site,Q79,Egypt,22.4,31.7
act_Q29019,act_Q735254,Q735254,Dendera Temple complex,dendera temple complex,Archaeological Site,Q79,Egypt,26.141667,32.670278
act_Q1674009,act_Q1674009,Q1674009,Iskanwaya,iskanwaya,Archaeological Site,Q750,Bolivia,-15.49472222,-68.67305556
act_Q732908,act_Q732908,Q732908,Hermopolis,hermopolis,Archaeological Site,Q79,Egypt,27.774438888,30.801111111
act_Q192268,act_Q853955,Q853955,Umm el-Qa'ab,umm el-qa'ab,Archaeological Site,Q79,Egypt,26.174913,31.9078587
act_Q1782847,act_Q1782847,Q1782847,Q1782847,q1782847,Archaeological Site,Q79,Egypt,21.48333333,30.95
act_Q124831396,act_Q746382,Q746382,Temple of Khonsu,temple of khonsu,Archaeological Site,Q79,Egypt,25.716644,32.655786
act_Q2276354,act_Q2276354,Q2276354,Shad-i Mashhad,shad-i mashhad,Archaeological Site,Q889,Afghanistan,35.03527778,63.99277778
act_Q11917525,act_Q1604678,Q1604678,al-Hammamiya,al-hammamiya,Archaeological Site,Q79,Egypt,26.930794,31.487675
act_Q2455642,act_Q2455642,Q2455642,Tumulus of Marcinelle,tumulus of marcinelle,Archaeological Site,Q31,Belgium,50.38826,4.42728
act_Q1657670,act_Q1657670,Q1657670,Ikhmindi,ikhmindi,Archaeological Site,Q79,Egypt,23.02011,32.63766
act_Q720134,act_Q720134,Q720134,Tigranakert of Artsakh,tigranakert of artsakh,Archaeological Site,Q227,Azerbaijan,40.065278,46.905833
act_Q2119744,act_Q2119744,Q2119744,Pyramid of el-Kula,pyramid of el-kula,Archaeological Site,Q79,Egypt,25.133425,32.733455555
