cluster_id,unique_id,festival_id,name_clean,name,festival_type,destination_id,destination_name,start_date,end_date
fest_Q2608553,fest_Q2608553,Q2608553,clandestino festival,Clandestino Festival,Festival,Q34,Sweden,,
fest_Q10497456,fest_Q10497456,Q10497456,census in sweden,census in Sweden,Festival,Q34,Sweden,,
fest_Q10604689,fest_Q10604689,Q10604689,nyhem week,Nyhem Week,Festival,Q34,Sweden,,
fest_Q10568317,fest_Q10568317,Q10568317,ljungby storytelling festival,Ljungby storytelling festival,Festival,Q34,Sweden,,
fest_Q5427122,fest_Q5427122,Q5427122,fscons,FSCONS,Festival,Q34,Sweden,,
fest_Q10561526,fest_Q10561526,Q10561526,ljus i alingsås,Ljus I Alingsås,Festival,Q34,Sweden,,
fest_Q57196864,fest_Q57196864,Q57196864,panacea festival,Panacea Festival,Festival,Q34,Sweden,,
fest_Q18454723,fest_Q18454723,Q18454723,hot salsa weekend,Hot Salsa Weekend,Festival,Q34,Sweden,,
fest_Q2630341,fest_Q2630341,Q2630341,isstjärnan,Isstjärnan,Festival,Q34,Sweden,,
fest_Q5629055,fest_Q5629055,Q5629055,west pride,West Pride,Festival,Q34,Sweden,,
fest_Q400196,fest_Q400196,Q400196,ahearne cup,Ahearne Cup,Festival,Q34,Sweden,1952-01-01,
fest_Q7993417,fest_Q7993417,Q7993417,where the action is tour,Where the Action Is Tour,Festival,Q34,Sweden,,
fest_Q1224610,fest_Q1224610,Q1224610,diggiloo,Diggiloo,Festival,Q34,Sweden,,
fest_Q7096094,fest_Q7096094,Q7096094,open house tel aviv,Open House Tel Aviv,Festival,Q33935,Tel Aviv,,
fest_Q15632654,fest_Q15632654,Q15632654,so frenchy so chic,So Frenchy So Chic,Festival,Q3130,Sydney,,
fest_Q17103578,fest_Q17103578,Q17103578,no mind festival,No Mind Festival,Festival,Q34,Sweden,,
fest_Q105194463,fest_Q105194463,Q105194463,wiki loves monuments in sweden,Wiki Loves Monuments in Sweden,Festival,Q34,Sweden,,
fest_Q18290485,fest_Q18290485,Q18290485,hammarkullekarnevalen,Hammarkullekarnevalen,Festival,Q34,Sweden,,
fest_Q761070,fest_Q761070,Q761070,tornedalsloppet,Tornedalsloppet,Festival,Q34,Sweden,,
fest_Q10554272,fest_Q10554272,Q10554272,lapland week,Lapland Week,Festival,Q34,Sweden,,
fest_Q56300371,fest_Q56300371,Q56300371,market art fair,Market Art Fair,Festival,Q34,Sweden,,
fest_Q6364269,fest_Q6364269,Q6364269,kanonloppet,Kanonloppet,Festival,Q34,Sweden,,
fest_Q8078933,fest_Q8078933,Q8078933,öland roots,Öland Roots,Festival,Q34,Sweden,,
fest_Q10710505,fest_Q10710505,Q10710505,urix,Urix,Festival,Q34,Sweden,,
fest_Q7727685,fest_Q7727685,Q7727685,the cortège,The Cortège,Festival,Q34,Sweden,,
fest_Q10602035,fest_Q10602035,Q10602035,nordic rock,Nordic Rock,Festival,Q34,Sweden,,
fest_Q477551,fest_Q477551,Q477551,kristallen,Kristallen,Festival,Q34,Sweden,,
fest_Q1813040,fest_Q1813040,Q1813040,peace love,Peace & Love,Festival,Q34,Sweden,,
fest_Q7881529,fest_Q7881529,Q7881529,umeå open,Umeå Open,Festival,Q34,Sweden,1998-01-01,
fest_Q16411367,fest_Q16411367,Q16411367,emajõgi festival,Emajõgi Festival,Festival,Q13972,Tartu,,
fest_Q98152365,fest_Q98152365,Q98152365,medieval week on gotland 2000,Medieval week on Gotland 2000,Festival,Q34,Sweden,,
fest_Q16935369,fest_Q16935369,Q16935369,nordic game,Nordic Game,Festival,Q34,Sweden,2004-01-01,
fest_Q252496,fest_Q252496,Q252496,medieval week on gotland,Medieval Week on Gotland,Festival,Q34,Sweden,1984-01-01,
fest_Q10651450,fest_Q10651450,Q10651450,retro game convention,Retro Game Convention,Festival,Q34,Sweden,2010-01-01,
fest_Q16911466,fest_Q16911466,Q16911466,skärgårdsfest,Skärgårdsfest,Festival,Q34,Sweden,,
fest_Q3362037,fest_Q3362037,Q3362037,flyktningerennet,Flyktningerennet,Festival,Q34,Sweden,,
fest_Q22098766,fest_Q22098766,Q22098766,golden horse awards ceremony,Golden Horse Awards Ceremony,Festival,Q1867,Taipei,,
fest_Q22098766,fest_Q22098766,Q22098766,golden horse awards ceremony,Golden Horse Awards Ceremony,Festival,Q1867,Taipei,,
fest_Q4175709,fest_Q4175709,Q4175709,swecon,Swecon,Festival,Q34,Sweden,,
fest_Q10719030,fest_Q10719030,Q10719030,wadköping games,Wadköping Games,Festival,Q34,Sweden,,
fest_Q19885745,fest_Q19885745,Q19885745,norrbotten sports award,Norrbotten Sports Award,Festival,Q34,Sweden,,
fest_Q633506,fest_Q633506,Q633506,estonian song festival,Estonian Song Festival,Festival,Q1770,Tallinn,,
fest_Q8077188,fest_Q8077188,Q8077188,årefjällsloppet,Årefjällsloppet,Festival,Q34,Sweden,,
fest_Q100166656,fest_Q100166656,Q100166656,kalix sommarkalas,Kalix sommarkalas,Festival,Q34,Sweden,,
fest_Q10526631,fest_Q10526631,Q10526631,house of metal,House of Metal,Festival,Q34,Sweden,,
fest_Q10723750,fest_Q10723750,Q10723750,yrkes-sm,Yrkes-SM,Festival,Q34,Sweden,,
fest_Q24914676,fest_Q24914676,Q24914676,titwrench,Titwrench,Festival,Q34,Sweden,,
fest_Q47008417,fest_Q47008417,Q47008417,kalmar grand prix,Kalmar Grand Prix,Festival,Q34,Sweden,,
fest_Q17018415,fest_Q17018415,Q17018415,gothenburg quadricentennial jubilee,Gothenburg quadricentennial jubilee,Festival,Q34,Sweden,,
fest_Q10480777,fest_Q10480777,Q10480777,eksjö town party,Eksjö town party,Event,Q34,Sweden,2008-01-01,
fest_Q130712750,fest_Q130712750,Q130712750,imagicon,Imagicon,Festival,Q34,Sweden,,
fest_Q106201531,fest_Q106201531,Q106201531,wiki loves earth in sweden,Wiki Loves Earth in Sweden,Festival,Q34,Sweden,,
fest_Q115300617,fest_Q115300617,Q115300617,tidernas hockeygala,Tidernas hockeygala,Event,Q34,Sweden,,
fest_Q1696625,fest_Q1696625,Q1696625,la nuit blanche,La Nuit blanche,Event,Q39,Switzerland,,
fest_Q111966993,fest_Q111966993,Q111966993,act performance art festival 2019 zürich,"ACT Performance Art Festival 2019, Zürich",Festival,Q39,Switzerland,,
fest_Q111966993,fest_Q111966993,Q111966993,act performance art festival 2019 zürich,"ACT Performance Art Festival 2019, Zürich",Festival,Q39,Switzerland,,
fest_Q3206936,fest_Q3206936,Q3206936,la bâtie-festival de genève,La Bâtie-Festival de Genève,Festival,Q39,Switzerland,,
fest_Q115854,fest_Q115854,Q115854,lucerne festival,Lucerne Festival,Festival,Q39,Switzerland,,
fest_Q111968716,fest_Q111968716,Q111968716,act performance art festival 2018 sierre,"ACT Performance Art Festival 2018, Sierre",Festival,Q39,Switzerland,,
fest_Q111983191,fest_Q111983191,Q111983191,act performance art festival 2018 zurich,"ACT Performance Art Festival 2018, Zurich",Festival,Q39,Switzerland,,
fest_Q111983191,fest_Q111983191,Q111983191,act performance art festival 2018 zurich,"ACT Performance Art Festival 2018, Zurich",Festival,Q39,Switzerland,,
fest_Q122219063,fest_Q122219063,Q122219063,fjärestad autumn market,Fjärestad autumn market,Festival,Q34,Sweden,,
fest_Q1026768,fest_Q1026768,Q1026768,caliente festival,Caliente Festival,Festival,Q39,Switzerland,,
fest_Q111659285,fest_Q111659285,Q111659285,swiss dance days,Swiss Dance Days,Festival,Q39,Switzerland,,
fest_Q15613979,fest_Q15613979,Q15613979,geneva ii conference on syria,Geneva II Conference on Syria,Festival,Q39,Switzerland,2014-01-22,2014-01-31
fest_Q24090941,fest_Q24090941,Q24090941,belluard bollwerk international,Belluard Bollwerk International,Festival,Q39,Switzerland,,
fest_Q22573883,fest_Q22573883,Q22573883,geneva syria peace talks 2016,Geneva Syria peace talks (2016),Festival,Q39,Switzerland,,
fest_Q123756244,fest_Q123756244,Q123756244,alive festival,Alive festival,Festival,Q34,Sweden,,
fest_Q118383836,fest_Q118383836,Q118383836,the bert bolin climate lecture,The Bert Bolin Climate Lecture,Festival,Q34,Sweden,,
